dataset,polluter,level,model,accuracy,epochs,train_n,test_n
Flowers102,none,0.0,ResNet18,0.1345,5,1020.0,2000.0
Flowers102,none,0.0,EfficientNetB0,0.0025,5,1020.0,2000.0
Flowers102,none,0.0,MobileNetV3small,0.003,5,1020.0,2000.0
Flowers102,none,0.0,ViTTiny,0.081,5,1020.0,2000.0
Flowers102,none,0.0,CNNSimple,0.0395,5,1020.0,2000.0
CIFAR10,blur,0.3,ResNet18,0.5774,10,,
CIFAR10,blur,0.3,CNNSimple,0.3034,10,,
CIFAR10,blur,0.7,ResNet18,0.2531,10,,
CIFAR10,blur,0.7,CNNSimple,0.2503,10,,
CIFAR10,class_balance,0.3,ResNet18,0.7085,10,,
CIFAR10,class_balance,0.3,CNNSimple,0.3001,10,,
CIFAR10,class_balance,0.7,ResNet18,0.7328,10,,
CIFAR10,class_balance,0.7,CNNSimple,0.2333,10,,
CIFAR10,completeness_image,0.3,ResNet18,0.75,10,,
CIFAR10,completeness_image,0.3,CNNSimple,0.3044,10,,
CIFAR10,completeness_image,0.7,ResNet18,0.7824,10,,
CIFAR10,completeness_image,0.7,CNNSimple,0.3015,10,,
CIFAR10,label_swap,0.3,ResNet18,0.5525,10,,
CIFAR10,label_swap,0.3,CNNSimple,0.2963,10,,
CIFAR10,label_swap,0.7,ResNet18,0.2938,10,,
CIFAR10,label_swap,0.7,CNNSimple,0.1989,10,,
CIFAR10,noise_injection,0.3,ResNet18,0.7606,10,,
CIFAR10,noise_injection,0.3,CNNSimple,0.3062,10,,
CIFAR10,noise_injection,0.7,ResNet18,0.6075,10,,
CIFAR10,noise_injection,0.7,CNNSimple,0.2351,10,,
FashionMNIST,blur,0.3,ResNet18,0.5394,10,,
FashionMNIST,blur,0.3,CNNSimple,0.4301,10,,
FashionMNIST,blur,0.7,ResNet18,0.2145,10,,
FashionMNIST,blur,0.7,CNNSimple,0.3186,10,,
FashionMNIST,class_balance,0.3,ResNet18,0.8743,10,,
FashionMNIST,class_balance,0.3,CNNSimple,0.5627,10,,
FashionMNIST,class_balance,0.7,ResNet18,0.8353,10,,
FashionMNIST,class_balance,0.7,CNNSimple,0.458,10,,
FashionMNIST,completeness_image,0.3,ResNet18,0.896,10,,
FashionMNIST,completeness_image,0.3,CNNSimple,0.609,10,,
FashionMNIST,completeness_image,0.7,ResNet18,0.8785,10,,
FashionMNIST,completeness_image,0.7,CNNSimple,0.5493,10,,
FashionMNIST,label_swap,0.3,ResNet18,0.5689,10,,
FashionMNIST,label_swap,0.3,CNNSimple,0.5696,10,,
FashionMNIST,label_swap,0.7,ResNet18,0.3224,10,,
FashionMNIST,label_swap,0.7,CNNSimple,0.415,10,,
FashionMNIST,noise_injection,0.3,ResNet18,0.8121,10,,
FashionMNIST,noise_injection,0.3,CNNSimple,0.6298,10,,
FashionMNIST,noise_injection,0.7,ResNet18,0.8478,10,,
FashionMNIST,noise_injection,0.7,CNNSimple,0.3686,10,,
CIFAR10,none,0.0,ResNet18,0.7952,10,,
CIFAR10,none,0.0,CNNSimple,0.3063,10,,
CIFAR10,blur,0.1,ResNet18,0.7727,10,,
CIFAR10,blur,0.1,CNNSimple,0.3095,10,,
CIFAR10,blur,0.5,ResNet18,0.3832,10,,
CIFAR10,blur,0.5,CNNSimple,0.2864,10,,
CIFAR10,blur,0.9,ResNet18,0.1648,10,,
CIFAR10,blur,0.9,CNNSimple,0.2811,10,,
CIFAR10,class_balance,0.1,ResNet18,0.7656,10,,
CIFAR10,class_balance,0.1,CNNSimple,0.3543,10,,
CIFAR10,class_balance,0.5,ResNet18,0.7467,10,,
CIFAR10,class_balance,0.5,CNNSimple,0.2736,10,,
CIFAR10,class_balance,0.9,ResNet18,0.6539,10,,
CIFAR10,class_balance,0.9,CNNSimple,0.1001,10,,
CIFAR10,completeness_image,0.1,ResNet18,0.7731,10,,
CIFAR10,completeness_image,0.1,CNNSimple,0.3326,10,,
CIFAR10,completeness_image,0.5,ResNet18,0.7404,10,,
CIFAR10,completeness_image,0.5,CNNSimple,0.3091,10,,
CIFAR10,completeness_image,0.9,ResNet18,0.7063,10,,
CIFAR10,completeness_image,0.9,CNNSimple,0.268,10,,
CIFAR10,label_swap,0.1,ResNet18,0.7165,10,,
CIFAR10,label_swap,0.1,CNNSimple,0.3073,10,,
CIFAR10,label_swap,0.5,ResNet18,0.3776,10,,
CIFAR10,label_swap,0.5,CNNSimple,0.2674,10,,
CIFAR10,label_swap,0.9,ResNet18,0.112,10,,
CIFAR10,label_swap,0.9,CNNSimple,0.1094,10,,
CIFAR10,noise_injection,0.1,ResNet18,0.7327,10,,
CIFAR10,noise_injection,0.1,CNNSimple,0.3166,10,,
CIFAR10,noise_injection,0.5,ResNet18,0.7245,10,,
CIFAR10,noise_injection,0.5,CNNSimple,0.2979,10,,
CIFAR10,noise_injection,0.9,ResNet18,0.5789,10,,
CIFAR10,noise_injection,0.9,CNNSimple,0.2068,10,,
FashionMNIST,none,0.0,ResNet18,0.8638,10,,
FashionMNIST,none,0.0,CNNSimple,0.5736,10,,
